sexo,secc,n_pobreza,pobreza_dir,var_pobreza_dir,cv_pobreza_dir,pobreza_fh,mse_pobreza_fh,se_pobreza_fh,cv_pobreza_fh
H,10,2820,0.023390411888853206,9.585609134018056e-6,13.236464174709273,0.02400916744401169,9.207655209419652e-6,0.003034411839124619,12.638555027785667
H,11,1882,0.1023022218429512,7.012632711029877e-5,8.185693526768931,0.0992045126167806,5.202199838112142e-5,0.007212627702933337,7.270463321356321
H,12,1009,0.003099067345391269,3.1214896711951145e-6,57.00985510017922,0.00335313254172806,3.081520953628966e-6,0.0017554261458771103,52.3518269567847
H,13,1712,0.1280891225259851,1.0956275110991646e-4,8.171827940090692,0.1125865540761942,7.60233366072427e-5,0.008719136230570246,7.74438502191787
H,14,641,0.019878448231629067,3.8352218574820435e-5,31.15392476589514,0.018834553538602864,3.1475557275898455e-5,0.005610308126644958,29.78731678001393
H,15,509,0.00533569759973039,1.3879482890363164e-5,69.82250646722974,0.004927729414503498,1.3424418883121542e-5,0.0036639348906771724,74.35341071880543
H,16,894,0.09071807118205281,9.782677405745528e-5,10.902725010212214,0.10624621862248729,6.912494456222898e-5,0.008314141240214108,7.825352608318052
H,17,2095,0.12093586273354576,5.980736191184455e-5,6.394730054086343,0.12038364974443001,5.082418077273306e-5,0.007129107992780938,5.921990243621761
H,18,1723,0.001653448183782837,1.3400715133223625e-6,70.01214735795736,0.0016661901421393614,1.3360908682712046e-6,0.001155893969303069,69.3734730550572
H,19,417,0.008345928514842359,2.2474992734257553e-5,56.803503070030374,0.009852309175763602,2.0548226983557964e-5,0.004533015219868334,46.00967284927905
H,2,65,0.018938259775423287,3.459899510301626e-4,98.21813270263135,0.02451461452274296,1.6139159118304708e-4,0.012703999023262205,51.822144751557545
H,20,1179,0.0704332548006411,6.212121184072164e-5,11.190312158127902,0.06450927526432496,4.932349633877478e-5,0.007023068869004118,10.886913300804093
H,21,1498,0.06357286274670426,4.3736353828252236e-5,10.402782504757525,0.06322767787346728,3.563946878509102e-5,0.005969880131551305,9.441877880599016
H,22,929,0.06349169404765938,8.152465060667356e-5,14.220915579081744,0.056984962095894556,5.781254538784991e-5,0.007603456147558813,13.342916916859016
H,23,392,0.007139636901134446,2.4817824744114237e-5,69.77594566920412,0.0073242827530186246,2.251169474455817e-5,0.004744649064425964,64.77970914586152
H,24,1170,0.002077794801495412,2.088968463543311e-6,69.56059472593151,0.002175446219373072,2.0717282581719513e-6,0.0014393499429158816,66.16343488972477
H,3,72,0.010952371036305147,1.1480037435863464e-4,97.82807414952686,0.007079611825724772,7.716509281727884e-5,0.00878436638678504,124.07977447104939
H,4,147,0.007994515014345534,6.192851969068909e-5,98.43583440261125,0.006088307660571023,4.91249357131131e-5,0.007008918298361959,115.12096117863716
H,5,218,0.00680799894350303,4.521851606941163e-5,98.77309749908554,0.006316011044922001,3.678040169813617e-5,0.006064684797921173,96.02080735430488
H,7,343,0.013926051050441104,4.707317848530601e-5,49.26730190264831,0.013402591516803572,3.8524408687465095e-5,0.006206803419431382,46.31047220718149
H,9,1032,0.053182528728668035,5.5853747476345145e-5,14.052615879454926,0.05993851331643834,4.409611075900844e-5,0.006640490249899359,11.078837099014569
H,99,1241,0.10762785282936665,9.442102524549993e-5,9.028376874647652,0.10277722463306684,6.300643479290768e-5,0.007937659276695345,7.723169510593631
M,10,3482,0.024122082039760122,8.129663713574714e-6,11.820109516947467,0.024279488918896842,7.877346193774827e-6,0.0028066610400571757,11.559802800761338
M,11,2081,0.11404667617867041,6.827327053064711e-5,7.245072258430206,0.10955920750194807,5.276285818933966e-5,0.00726380466349004,6.630026657833284
M,12,1216,0.008788605531056723,6.808838708884631e-6,29.690434364944288,0.008868032351407443,6.642011685770502e-6,0.0025772100585265655,29.061802623188868
M,13,1844,0.12851858775999558,9.809284365760976e-5,7.7064207691395685,0.11526073389808775,7.20856940221828e-5,0.008490329441322214,7.3661941531877355
M,14,792,0.017982478131330987,2.871571416811512e-5,29.79958871169646,0.017093315516711706,2.5630703104738375e-5,0.005062677464024187,29.617878749588012
M,15,607,0.002043276055918215,4.0594005908941266e-6,98.60612890572176,0.0021738133342094268,4.023582309449527e-6,0.0020058869134249634,92.27503032841894
M,16,960,0.0974525229117742,9.566980914121201e-5,10.036779124215858,0.10338616688509769,6.973634695254315e-5,0.00835082911767108,8.077317661802962
M,17,2278,0.11974554410658829,5.287105023774703e-5,6.072249488743402,0.12184728421959681,4.8569438324187454e-5,0.006969177736590412,5.719600384388011
M,18,2227,0.0027218632455279904,1.2768939638218016e-6,41.515580585399185,0.002665595940356655,1.2749029429300159e-6,0.0011291160006527301,42.35885805339481
M,19,504,0.0069297432326565385,1.5494748268298388e-5,56.80350307003038,0.00815454220677991,1.4591765992381083e-5,0.003819917013808164,46.84404000793791
M,20,1402,0.06642725581892457,5.0471020155311975e-5,10.694850791028344,0.06283675147881665,4.523346717993491e-5,0.006725583036431481,10.703263421723499
M,21,1667,0.056106770450764516,3.257626059391373e-5,10.172679085209928,0.05877735176570944,2.887120376792575e-5,0.005373193070039988,9.14160456132475
M,22,1073,0.04299141310700942,4.344520548701187e-5,15.33166098185235,0.043297572956087424,3.746080513130911e-5,0.006120523272671145,14.135950019366225
M,24,1521,0.0016746591623248526,1.3569987033966104e-6,69.56059472593151,0.0016690419023721007,1.3501802698624681e-6,0.0011619725770699015,69.61913750748052
M,3,114,0.01679326967861244,1.3444195337494215e-4,69.04498581198818,0.013444934803122074,1.0026804469147799e-4,0.010013393265595734,74.47706822104116
M,7,421,0.013873145111605652,3.731824400410029e-5,44.03374986042177,0.012517658446220332,3.3533866825952514e-5,0.005790843360509116,46.261394536273215
M,8,312,0.010577010095467671,3.6167626373250733e-5,56.85872082128106,0.011149739243469231,3.1220347266012125e-5,0.005587517093129302,50.11343288949196
M,9,1113,0.049904890988081915,4.873521786734139e-5,13.988731831489247,0.05696967265050336,4.1556980857430426e-5,0.006446470418564753,11.315617799162123
M,99,1364,0.10980766288655915,8.464987203302628e-5,8.378774546358821,0.10291654264445295,6.021746487919309e-5,0.007759991293757557,7.540081598510451
